_id,OBJECTID,AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED,ADDRESS_POINT_ID,X,Y,LONGITUDE,LATITUDE,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,geometry
11,1279,Humber River Hospital,"1235 Wilson Ave, Toronto, ON     M3M 0B2","Downsview-Roding-CFB, 26",416-242-1000,,"<a href=""http://www.hrh.ca"" target=""_blank"">www.hrh.ca</a>",,"Acute care hospital * medical and surgical inpatient services * diagnostic services * breast screening * breastfeeding clinic * cancer detection and treatment * cardiac care * diabetes education centre * dialysis * gastroenterology * geriatric services * gynecology * neurology* obstetrics * ophthalmology * oral and dental surgery * orthopedics * otolaryngology * palliative care * pediatrics * plastic surgery * respiratory care * speech language pathology * urology<br>
<br>
<b>Mental Health and Addictions Program</b> -- crisis, inpatient and outpatient services for children, adolescents and adults * concurrent disorders * day treatment * early intervention in psychosis * child and adolescent transition day program * Bridgeway Chemical Dependency Program * withdrawal management",,English ; telephone service provides access to interpreters for over 140 languages,Unknown,Mon-Sun 24 hours,(50) Non Profit ; (51) Registered Charity,2015-10-16T04:00:00,30063647,,,,,1235 Wilson Ave,North York,M3M 0B2,"{u'type': u'Point', u'coordinates': (-79.4892156206, 43.7242581886)}"
12,1281,Griffin Centre,"1124 Finch Ave W, Unit 1, Toronto, ON     M3J 2E2","York University Heights, 27",416-222-1153,contact@griffincentre.org,"<a href=""http://www.griffincentre.org"" target=""_blank"">www.griffincentre.org</a>","<b>Mental Health Program</b> -- youth 12-18 years with mental health concerns who are experiencing difficulties at home, school or in the community * <b>Dual Diagnosis Service</b> -- youth 12-18 years with a developmental disability and complex mental health needs, and adults 16 years and older with a developmental disability, with or without accompanying complex mental health needs * <b>reachOUT Newcomer Network</b> -- youth with disabilities and LGBTQ youth 13-24 years, who are permanent residents or government assisted refugees, and their families","Flexible, community-based mental health services * assessment of strengths and needs * individual, family, group and short term counselling * crisis support * substance use treatment * sexual assault harm reduction treatment for offenders (limited capacity) * case management * school-based prevention and consultation * skill development * after school groups * summer work experience opportunities * preparation for independence * youth and family involved in service planning and decisions * consultation for parents, schools, agencies, communities<br><br>

<b>Dual Diagnosis Service (Mental Health/Development Disability)</b> -- assists youth and their families in dealing with conflict with friends or family, problems at school and in the community, discrimination, anger, violence, abuse, substance abuse * day/school support services * respite/residential care<br><br>

<b>Helping Youth Towards Solutions</b> -- harm reduction approach * individual and group counselling * family education and support * outreach to secondary schools * day school support service, in collaboration with Toronto District School Board<br><br>

<b>Mental Health Program</b> -- assists youth and their families in dealing with conflict with friends or family, problems at school and in the community, discrimination, anger, violence, abuse, substance abuse<br><br>

<b>reachOUT</b> -- counselling and support for all youth 12-18 years, and their families * drop-in support groups, outreach, advocacy, workshops, social and recreation activities for LGBTQ youth * <b>Compass</b> -- social group for LGBTQ youth 13-24 years, with or labelled with intellectual disabilities, includes workshops and recreational activities * <b>reachOUT Newcomer Network</b> -- settlement services * community capacity building<br><br>

<b>Transitional Support Services</b> -- day program for adults with developmental disabilities includes life skills and self care, household management, budgeting skills  * residential program -- supported living, 24 hour staff support * capacity 5 * maximum stay up to 2 years<br><br>

Services offered at various locations",,English ; Farsi ; Spanish ; Interpretation for other languages arranged,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking close to entrance,"Mon-Thu 8:30 am-8 pm, Fri 8:30 am-5 pm * after hours -- 24 hour on call service",(50) Non Profit ; (51) Registered Charity,2015-06-29T04:00:00,9171888,,,,,1124 Finch Ave W,North York,M3J 2E2,"{u'type': u'Point', u'coordinates': (-79.4762619317, 43.7691999078)}"
13,1282,Jean Tweed Centre,"215 Evans Ave, Toronto, ON     M8Z 1J5","Mimico, 17",416-255-7359,info@jeantweed.com,"<a href=""http://www.jeantweed.com"" target=""_blank"">www.jeantweed.com</a>","Women 16 years and older who have problems with alcohol, other drugs or problem gambling, and their families * all services available to women on methadone * child development centre -- children 6 years and under","Intensive 3 week residential and day treatment program, or individual counselling program over an extended period * pretreatment services and continuing care for 2 years * counselling services for women who have experienced trauma and who have completed the general program * family education and counselling * child care and child development services available * program for women with concurrent disorders currently in the criminal justice system<br><br>

<b>Pathways to Healthy Families</b> -- holistic, culturally responsive outreach program for pregnant or parenting women * service coordination and case management * access to support and counselling (individual, family, group), and child development services<br><br>

Also supportive housing and outreach services for women with mental health and substance abuse problems * all programs trauma informed",Professional or self referral * weekly information session,English,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Office -- Mon-Fri 9 am-5 pm * programs Tue-Thu 9 am-9 pm,(50) Non Profit ; (51) Registered Charity,2016-01-07T05:00:00,10998869,,,,,215 Evans Ave,Etobicoke,M8Z 1J5,"{u'type': u'Point', u'coordinates': (-79.5155230225, 43.6168711446)}"
14,1283,Hospital for Sick Children,"555 University Ave, Toronto, ON     M5G 1X8","Bay Street Corridor, 76",416-813-5804,,"<a href=""http://www.sickkids.ca/AdolescentMedicine/What-We-Do/index.html"" target=""_blank"">www.sickkids.ca/AdolescentMedicine/What-We-Do/index.html</a>",Children and youth 18 years and under,"<b>Eating Disorders Program</b> -- diagnosis and treatment * inpatient and outpatient programs<br><br>
<b>Substance Abuse Day Treatment Program</b> -- harm reduction approach * individual and group treatment * academic program<br><br>
<b>Young Families Program</b> -- for teen parents and their children * well baby care * nutrition and feeding * parenting education",Medical referral required,English ; Interpretive services,"Wheelchair accessible building including main entrance and barrier free washrooms * braille elevator, lowered buttons",,(50) Non Profit ; (51) Registered Charity,2015-12-29T05:00:00,7792696,,,,,555 University Ave,former Toronto,M5G 1X8,"{u'type': u'Point', u'coordinates': (-79.387434232, 43.6573635657)}"
15,1284,Breakaway Addiction Services,"21 Strickland Ave, Toronto, ON     M6K 3E6","Roncesvalles, 86",416-234-1942,breakaway@breakawayaddictions.ca,"<a href=""http://www.breakawayaddictions.ca"" target=""_blank"">www.breakawayaddictions.ca</a>","Varies for individual programs, see below","Comprehensive, community-based, individualized addiction treatment and harm reduction services including street and community outreach<br><br>

<b>Clear Directions Day Treatment Program</b> -- for youth 14-18 years with addictions and mental health problems * school program including academic, therapeutic, and substance use support * in collaboration with George Hull Centre for Children and Families and Toronto District School Board<br><br>

<b>Family and Youth Initiatives</b> -- outpatient treatment for youth 12-24 years with substance abuse related problems, and their families * parent support groups * adult information evenings * groups for youth mandated clients * consultation and supportive assistance to families and significant others when users are not in treatment * community professionals and agency staff -- consultation and training in early identification and management of substance abuse * community education and prevention programs * outreach in some schools<br><br>

<b>Harm Reduction Outreach</b> -- for drug users 12 years and older who are street involved or in conflict with the law * street outreach including counselling, needle exchange, harm reduction supplies, free condoms * outreach to Vanier Centre for Women<br><br>

<b>Opiate Addiction Treatment Services</b> -- outpatient, harm reduction treatment including pharmacotherapies such as methadone, and individual and group counselling * intake and assessment * case management * treatment planning and review * referral and advocacy for housing, employment, social assistance * social and recreation programs<br><br>

<b>Supportive Housing</b> -- for individuals 16 years and older, who have problematic substance use and require stable housing * Housing First Model of supportive housing * engagement in addiction treatment or abstinence not required * in partnership with Regeneration Community Services (see separate entry) <br><br>
 
<b>Toronto Opiate Support Team (TOST)</b> -- for individuals who use opiates or replacement medications, and have little or no access to supportive services (no age restrictions) * case management, counselling and advocacy * flexible ongoing or short term support * training for community service providers * in collaboration with other community agencies * available in various community locations","Self, family, professional or agency referral * will accept collect calls from correctional facilities * <b>Supportive Housing</b> -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application * <b> Opiate Addiction Treatment Services</b> -- call 416-537-9346 or drop in",English,Wheelchair accessible automatic main entrance ; Barrier-free washrooms ; Lot parking ; Community locations vary,"Mon-Thu 9 am-5 pm, Fri 9 am-1 pm * after hours -- by appointment only * individual programs may vary",(50) Non Profit ; (51) Registered Charity,2015-02-05T05:00:00,3959847,,,,,21 Strickland Ave,former Toronto,M6K 3E6,"{u'type': u'Point', u'coordinates': (-79.4310383872, 43.6433175557)}"
16,1286,Overeaters Anonymous,"Paulist Ministry Centre, 830 Bathurst St, Toronto, ON     M5R 3G1","Annex, 95",416-588-6134,info@oaontario.org,"<a href=""http://www.oaontario.org"" target=""_blank"">www.oaontario.org</a>",Compulsive overeaters with a desire to stop eating compulsively,Mutual help group modelled on 12 steps of Alcoholics Anonymous * no weigh-ins or diets * call or visit website for meeting times and locations,"Call, email or visit website",English,Some locations wheelchair accessible - call or visit website for details,"Answering machine, calls usually returned within 48 hours",(50) Non Profit,2016-02-02T05:00:00,9523575,,,,,830 Bathurst St,former Toronto,M5R 3G1,"{u'type': u'Point', u'coordinates': (-79.4118348993, 43.6657648704)}"
17,1287,Regeneration Community Services,"2238 Dundas St W, Ste 307, Toronto, ON     M6R 3A9","Roncesvalles, 86",416-703-9645,regen@regenerationcs.org,"<a href=""http://www.regenerationcs.org"" target=""_blank"">www.regenerationcs.org</a>",Men and women 16 years and older with a history of long term mental health and/or addiction problems,"<b>Addiction Supportive Housing</b> -- housing support and case management for persons with severe addiction issues * Managed Alcohol Program -- 24 hour, high-support housing with harm reduction focus<br><br>

<b>Intensive Case Management Program</b> -- case management partnership program with Centre for Addiction and Mental Health and St Joseph's Health Centre Family Health Team (see separate entries) * support services * housing placement<br><br> 

<b>Mental Health Homelessness Initiatives Housing Program</b> -- high support housing * 4 locations * residential and personal care support -- services include meals, laundry, housekeeping, medication management<br><br>

<b>Residential Program</b> -- individualized, voluntary support including assessment, goal setting, skills teaching, resource exploration, linkages, advocacy<br><br>

<b>Step Up Housing</b> -- alternate level of care (ALC) program in partnership with Centre for Addiction and Mental Health * support services include meals, laundry, housekeeping, medication management","Apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application * priority may be given to partner agencies and intake interview may be required",English,Wheelchair accessible automatic main entrance ; Some residences wheelchair accessible -- call for details,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2016-01-05T05:00:00,8648673,,,,,2238 Dundas St W,former Toronto,M6R 3A9,"{u'type': u'Point', u'coordinates': (-79.4514961622, 43.654376493)}"
18,1288,Renascent,"Wright Centre, 38 Isabella St, Toronto, ON     M4Y 1N1","Church-Yonge Corridor, 75",416-927-1202,info@renascent.ca,"<a href=""http://www.renascent.ca"" target=""_blank"">www.renascent.ca</a>","16 years or older, minimum 72 hours of sobriety, assessment","Alcoholism and drug addiction recovery programs * complete care -- 21 day primary care, relapse prevention aftercare, alumni care and family care, including children's and parenting programs * residential, outpatient and distant delivery * separate programs for men and women * immediate access * 12 step philosophy * workplace programs * home-like treatment settings",Call Helpline,English,Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall ; Street parking close to entrance,Office -- Mon-Fri 8:30 am-4:30 pm * Helpline -- Mon-Sun 24 hours,(50) Non Profit ; (51) Registered Charity,2016-01-05T05:00:00,7640027,,,,,38 Isabella St,former Toronto,M4Y 1N1,"{u'type': u'Point', u'coordinates': (-79.3838539427, 43.6682002539)}"
19,1289,Salvation Army,"Titan Islington Plaza, 1020 Islington Ave, Unit 9A, Toronto, ON     M8Z 6A4","Islington-City Centre West, 14",416-255-7070,info@tsa-bss.org,"<a href=""http://www.tsa-bss.org"" target=""_blank"">www.tsa-bss.org</a>","Adults 18 years and older with a mental health disorder, a history of addiction (including concurrent disorder) or previous experience as a mental health services consumer * must have been recently housed, living in precarious housing conditions, or have a history of sporadic housing, and who are willing to live and participate in a cooperative environment","Outreach agency * wrap around treatment services available to clients in their home or chosen community location * assessment, treatment and care plan development * assistance with housing and shelter * life skills development * medical, crisis and psychiatric support * food, clothing assistance * legal, financial, education and employment counselling * assistance with activities of daily living including personal care, meal preparation, grocery shopping * relationship building, leisure and recreation activities * spiritual counselling","Agency, professional, family or self referral * contact 416-255-7070 ext 256 for information or intake",English,Unknown,"Mon-Fri 8:30 am-4 pm * after hours on-call support services -- Mon-Fri 4 pm-8:30 am, Sat-Sun and holidays 24 hours",(50) Non Profit ; (51) Registered Charity,2015-08-05T04:00:00,7668065,,,,,1020 Islington Ave,Etobicoke,M8Z 6A4,"{u'type': u'Point', u'coordinates': (-79.5184897021, 43.6318682819)}"
20,1290,Salvation Army,"160 Jarvis St, Toronto, ON     M5B 2E1","Church-Yonge Corridor, 75",416-363-5496,karen_french@can.salvationarmy.org,"<a href=""http://www.torontoharbourlight.ca"" target=""_blank"">www.torontoharbourlight.ca</a>",Residential program -- men 18 years and older with concurrent addiction and mental health disorders * Community program -- men 18 years and older who are struggling with substance abuse or dependence,"<b>Residential Treatment Program</b> -- up to 14 weeks * life skills * symptom management * relapse prevention * psychiatric and medical support<br><br>

<b>Community Treatment Program</b> -- flexible group and individual treatment services in downtown Toronto and Scarborough",Call intake worker,English,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Street parking close to entrance,Assessment interviews -- Mon-Thu 8 am-4 pm * information Mon-Sun 24 hours,(50) Non Profit ; (51) Registered Charity,2015-02-03T05:00:00,8771552,,,,,160 Jarvis St,former Toronto,M5B 2E1,"{u'type': u'Point', u'coordinates': (-79.3741769843, 43.6550515446)}"
21,1291,Salvation Army,"78 Admiral Rd, Toronto, ON     M5R 2L6","Annex, 95",416-921-0953,elizabeth_price@can.salvationarmy.org,"<a href=""http://www.salvationarmyhomestead.org"" target=""_blank"">www.salvationarmyhomestead.org</a>","Women 18 years and older who are alcohol or chemical dependent, including those using methadone","Residential and day treatment centre * assessment plus 9 week treatment program * 12 step program * optional spiritual component, chapel services * life skills * individual and group counselling * anger management * addiction education * conflict resolution * exercise/relaxation class * recreation activities * behaviour modification * aftercare * relapse prevention",Agency or self referral * call for assessment interview,English,Wheelchair accessible -- call for details * no client parking,Admissions Mon-Thu 8 am-2 pm * information and referral -- Mon-Sun 24 hours,(50) Non Profit ; (51) Registered Charity,2013-02-22T05:00:00,7979846,,,,,78 Admiral Rd,former Toronto,M5R 2L6,"{u'type': u'Point', u'coordinates': (-79.401392669, 43.6733524274)}"
22,1292,Griffin Centre,"1124 Finch Ave W, Unit 1, Toronto, ON     M3J 2E2","York University Heights, 27",416-222-1153,contact@griffincentre.org,"<a href=""http://www.griffincentre.org"" target=""_blank"">www.griffincentre.org</a>","Youth and young adults 15-25 years with addiction or addiction and mental health challenges, living in Jane/Finch and surrounding northwest Toronto community, and their families","Mental health and substance use services for transitional age youth including complex care coordination and intensive case management, individual and family counselling, group support and activities, educational workshops, outreach and community capacity building * access to other Griffin Centre services<br><br>

In partnership with LOFT Community Services -- see separate entry","Call, email or visit website for information * intake assessment required * self referral or referral by family member, service provider, hospital, or community agency",English ; Twi ; Interpretation available for other languages,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking close to entrance,"Mon-Thu 9 am-8 pm, Fri 9 am-5 pm",(50) Non Profit ; (51) Registered Charity,2015-09-16T04:00:00,9171888,,,,,1124 Finch Ave W,North York,M3J 2E2,"{u'type': u'Point', u'coordinates': (-79.4762619317, 43.7691999078)}"
23,1293,St Michael's Homes,"262 Gerrard St E, Toronto, ON     M5A 2G2","Moss Park, 73",416-926-8267,info@stmichaelshomes.org,"<a href=""http://stmichaelshomes.org"" target=""_blank"">stmichaelshomes.org</a>",Men in recovery from alcohol or drug addiction * varies by program,"Short and long term supportive residential treatment * abstinence based * rehabilitative programs<br><br>

<b>Matt Talbot Houses</b> -- short and long term programs for men 50 years and older * capacity 49 * individualized care plan * client centred case management * relapse management * Phase One -- short term program, less than 1 year * Phase Two -- long term program, admission dependent on successful completion of Phase One<br><br>

<b>St Michael's Houses</b> -- 6 month residential treatment program for men 18-55 years * capacity 26 * includes community living, individual and group counselling, life skills, relaxation training, anger management * after care group",Call for application and to arrange intake interview,English,Wheelchair accessible entrance ; Street parking,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-03-10T04:00:00,808344,,,,,262 Gerrard St E,former Toronto,M5A 2G2,"{u'type': u'Point', u'coordinates': (-79.3689262968, 43.6621394894)}"
